Orbit N0.,Solar Longitude,Solar Latitude,Spacecraft Longitude,Spacecraft Latitude,Altitude,Solar Distance,Martian Year,Ls
377,105.93,-23.16,28.06,73.03,153.04,206638439.4,32,248.7
378,39.07,-23.18,320.49,73.06,153.56,206637109.7,32,248.9
379,332.19,-23.2,252.83,73.12,153.94,206635858.7,32,249.1
380,265.32,-23.22,185.22,73.18,152.78,206634687,32,249.1
381,198.45,-23.24,117.73,73.2,153.96,206633594.3,32,249.2
382,131.58,-23.26,50,73.28,153.55,206632580.7,32,249.4
383,64.71,-23.28,342.58,73.31,153,206631646.3,32,249.5
384,357.84,-23.3,274.87,73.35,154.07,206630790.9,32,249.7
385,290.97,-23.32,207.25,73.41,153.12,206630014.6,32,249.7
386,224.11,-23.34,139.74,73.45,153.45,206629317.5,32,249.9
387,157.24,-23.36,71.99,73.48,153.59,206628699.4,32,250
388,90.37,-23.37,4.53,73.54,152.67,206628160.4,32,250.2
389,23.52,-23.39,296.85,73.57,153.89,206627700.7,32,250.2
390,316.64,-23.41,229.2,73.61,153.66,206627319.9,32,250.4
391,249.79,-23.43,161.6,73.67,152.98,206627018.3,32,250.5
392,182.92,-23.45,94,73.67,154.06,206626795.8,32,250.6
393,116.06,-23.47,26.35,73.74,153.42,206626652.3,32,250.6
394,49.2,-23.49,318.8,73.75,153.64,206626588,32,250.8
395,342.33,-23.5,251.09,73.78,154.2,206626602.8,32,251
396,275.47,-23.52,183.44,73.83,152.99,206626696.7,32,251.1
397,208.61,-23.54,115.95,73.84,154.06,206626869.7,32,251.1
